STATE_UT,YEAR,POPULATION_IN_MILIONS,"AVERAGE_LITERACY_RATE_IN %",AREA(KM2),SEX_RATIO,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT_GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,"OTHER IPC_CRIMES",TOTAL_IPC_CRIMES
MANIPUR,2005,2.39,79.85,22327,974,256,252,4,25,0,25,106,69,37,4,0,8,62,243,92,151,35,52,122,10,155,295,0,25,0,20,0,5,1234,2913
MIZORAM,2005,0.89,91.58,21081,935,24,24,5,37,0,37,13,0,13,3,0,6,442,777,0,777,35,11,58,5,20,77,4,49,4,0,0,4,558,2156
ODISHA,2005,36.71,73.45,155707,972,1079,1279,48,799,0,799,641,547,94,184,50,998,3029,6743,1626,5117,1515,301,1040,31,386,5919,334,2238,184,1671,0,3034,20182,51685
PUNJAB,2005,24.29,76.68,50362,876,713,723,216,398,0,398,478,329,149,27,103,85,1933,2924,1151,1773,1,306,2934,73,55,4267,99,308,43,729,0,2283,8438,27136
TRIPURA,2005,3.19,87.75,10491,948,121,56,1,162,0,162,85,43,42,22,0,61,170,325,62,263,148,32,59,16,35,429,34,161,1,439,0,188,811,3356
UTTARAKHAND,2005,8.48,79.63,53483,962,279,202,30,133,0,133,203,125,78,48,0,159,521,1630,533,1097,433,144,396,22,24,745,63,100,89,272,0,462,2078,8033
"WEST BENGAL",2005,80.22,77.08,88752,934,1453,434,408,1686,0,1686,1207,1039,168,211,1221,426,739,12124,2435,9689,2635,528,1760,107,92,4125,446,1572,54,6936,61,2737,25444,66406
CHANDIGARH,2005,0.9,86.43,114,818,18,15,4,33,0,33,54,45,9,0,2,12,223,1373,579,794,43,41,161,0,1,57,3,31,9,75,0,9,969,3133
PUDUCHERRY,2005,0.97,86.55,479,1038,19,24,8,6,0,6,6,3,3,1,0,5,67,466,235,231,159,8,41,0,9,857,4,60,26,6,0,224,2579,4575
"ARUNACHAL PRADESH",2006,1.1,66.95,83743,993,60,33,3,37,0,37,75,51,24,28,0,74,257,451,74,377,6,61,38,9,20,415,1,63,2,14,0,82,565,2294
ASSAM,2006,26.65,73.18,75438,935,1207,414,32,1244,0,1244,1825,1544,281,319,12,544,2911,7820,1362,6458,2684,461,905,98,488,5290,105,1290,10,2548,0,3022,10444,43673
CHHATTISGARH,2006,20.81,71.04,135194,777,1098,825,15,995,0,995,239,178,61,160,24,439,3507,5262,1623,3639,905,137,507,33,262,6722,103,1598,143,717,1,2239,19246,45177
GOA,2006,1.35,87.4,3702,961,39,17,1,21,0,21,16,10,6,7,0,17,252,494,223,271,63,35,55,9,38,170,0,18,7,14,0,233,698,2204
HARYANA,2006,21.09,76.64,44212,861,873,585,59,608,0,608,635,431,204,104,224,410,4001,10518,6300,4218,1142,750,1424,35,156,5135,255,486,491,2254,0,1350,19014,50509
"HIMACHAL PRADESH",2006,6.09,83.78,55673,968,111,78,20,113,0,113,130,109,21,7,0,29,754,812,214,598,566,137,129,4,115,1261,3,275,31,259,0,499,7760,13093
"JAMMU & KASHMIR",2006,10.08,67.16,42241,892,487,854,40,250,0,250,789,723,66,10,0,112,1351,1937,554,1383,1197,123,463,35,203,376,10,960,347,135,0,222,10886,20787
JHARKHAND,2006,26.92,66.4,79714,941,1492,1078,97,799,0,799,635,410,225,536,45,779,1428,6173,1146,5027,2650,319,833,34,178,3055,281,414,44,668,5,1154,13667,36364
MANIPUR,2006,2.4,79.85,22327,974,205,265,4,40,0,40,130,79,51,2,27,8,55,290,105,185,60,40,82,9,109,296,0,42,0,10,0,3,1207,2884
MIZORAM,2006,0.9,91.58,21081,935,25,19,7,72,0,72,6,1,5,7,0,10,422,758,60,698,0,30,78,10,25,72,0,51,0,1,0,26,454,2073
ODISHA,2006,36.72,73.45,155707,972,1159,752,36,985,0,985,704,577,127,239,76,1184,3120,6567,1571,4996,1535,313,1364,16,371,6226,457,2415,247,694,12,2945,21375,52792
PUNJAB,2006,24.3,76.68,50362,876,817,898,165,442,0,442,591,418,173,35,90,142,2277,3946,1561,2385,3,281,3393,66,68,5104,130,314,60,801,2,2919,9524,32068
TRIPURA,2006,3.2,87.75,10491,948,154,52,1,189,0,189,105,62,43,18,1,71,182,392,31,361,154,23,84,12,35,464,35,207,0,471,0,199,1091,3940
UTTARAKHAND,2006,8.49,79.63,53483,962,274,215,40,147,0,147,212,183,29,31,2,157,470,1696,525,1171,489,95,514,14,39,854,80,153,113,358,0,524,1935,8412
"WEST BENGAL",2006,80.23,77.08,88752,934,1425,672,401,1731,0,1731,1355,1199,156,177,1263,426,601,12532,2714,9818,2385,519,1947,135,111,6299,445,1837,63,7414,1,3039,23274,68052
CHANDIGARH,2006,0.91,86.43,114,818,12,21,8,19,0,19,65,57,8,1,3,34,189,1234,529,705,44,59,232,3,5,55,10,20,13,102,0,14,983,3126
PUDUCHERRY,2006,0.98,86.55,479,1038,30,24,3,9,0,9,18,13,5,2,0,3,84,560,320,240,194,6,36,2,22,927,3,56,39,19,0,209,2441,4687
"ARUNACHAL PRADESH",2007,1.1,66.95,83743,993,68,29,2,48,0,48,68,44,24,16,0,75,240,513,116,397,16,41,33,10,22,375,0,72,1,20,0,82,555,2286
ASSAM,2007,26.65,73.18,75438,935,1374,451,109,1437,0,1437,1971,1471,500,299,12,496,2603,7754,1982,5772,2601,653,895,115,380,5175,100,789,10,3000,0,2875,12183,45282
CHHATTISGARH,2007,20.81,71.04,135194,777,1097,747,26,982,0,982,244,181,63,115,13,427,3632,5381,1814,3567,881,150,467,64,253,6801,100,1549,111,824,0,2476,19505,45845
GOA,2007,1.35,87.4,3702,961,33,23,7,20,0,20,12,7,5,7,0,22,292,494,207,287,70,36,55,10,24,150,2,20,7,14,0,247,934,2479
HARYANA,2007,21.09,76.64,44212,861,911,592,72,488,0,488,801,554,247,139,266,502,4231,11047,6499,4548,1173,726,1232,33,142,5031,269,417,409,2412,0,1545,19159,51597
"HIMACHAL PRADESH",2007,6.09,83.78,55673,968,127,57,9,159,0,159,171,150,21,5,0,23,877,1092,264,828,649,132,212,11,141,1318,8,322,33,342,0,597,7937,14222
